"segmentid","street","direction","count_mm"
"35207","BORDEN AVENUE","EB","389"
"35253","NASSAU AVENUE","NB","1350"
"35359","11 STREET","NB","386"
"35420","MEEKER AVENUE","NB","1435"
"35499","NASSAU AVENUE","EB","861"
"35499","NASSAU AVENUE","WB","863"
"35517","GREENPOINT AVENUE","EB","1318"
"35517","GREENPOINT AVENUE","WB","1344"
"35569","MANHATTAN AVENUE","NB","672"
"35597","MEEKER AVENUE","SB","1437"
"35598","GRAHAM AVENUE","NB","672"
"35598","GRAHAM AVENUE","SB","672"
"35619","MEEKER AVENUE","NB","1433"
"35626","HUMBOLDT STREET","SB","672"
"35631","NEWEL STREET","NB","862"
"35636","DRIGGS AVENUE","WB","860"
"35637","DIAMOND STREET","SB","863"
"35639","DRIGGS AVENUE","WB","859"
"35648","DIAMOND STREET","SB","863"
"35649","NASSAU AVENUE","EB","859"
"35649","NASSAU AVENUE","WB","866"
"35656","NORTH HENRY STREET","NB","672"
"35669","HUMBOLDT STREET","SB","672"
"35671","GREENPOINT AVENUE","EB","3267"
"35671","GREENPOINT AVENUE","WB","1545"
"35675","RUSSELL STREET","NB","672"
"35676","NORTH HENRY STREET","NB","672"
"35720","SKILLMAN AVENUE","NB","1538"
"35720","SKILLMAN AVENUE","SB","1539"
"35732","49 AVENUE","EB","864"
"35732","49 AVENUE","WB","864"
"35746","2 AVENUE","SB","1344"
"35767","EAST 38 STREET","EB","768"
"35868","AVENUE OF THE AMERICAS","NB","4484"
"35869","CENTRAL PARK SOUTH","EB","4400"
"35876","CENTER DRIVE","NB","4481"
"35914","2 AVENUE","SB","1344"
"35944","2 AVENUE","SB","1344"
"35951","EAST 45 STREET","WB","768"
"36024","EAST 59 STREET","EB","768"
"36026","5 AVENUE","SB","5394"
"36112","2 AVENUE","SB","1344"
"36140","3 AVENUE","NB","676"
"36142","3 AVENUE","NB","675"
"36145","3 AVENUE","NB","674"
"36162","MADISON AVENUE","NB","4400"
"36164","MADISON AVENUE","NB","1428"
"36246","2 AVENUE","SB","1344"
"36248","2 AVENUE","SB","1344"
"36256","2 AVENUE","SB","1344"
"36258","2 AVENUE","SB","1344"
